0% X	0% Y
0	0.015667387
0	0.019081313
120	-0.007389761
120	-0.000927967
240	-0.004871825
240	0.00965723
360	-0.017934855
360	-0.013281522
480	-0.039844566
480	-0.016787462
600	-0.028244983
600	0.002827506
720	-0.02082125
720	-0.016022533
720	0.023736712
840	-0.043614618
840	-0.021575223
840	0.004854133
840	0.036033033
960	-0.024054288
960	-0.021358186
960	-0.022097205
960	-0.016817222
1080	-0.039680697
1080	-0.025113096
1080	-0.021858323
1080	-0.007232659
1200	-0.034740749
1200	-0.029900532
1200	-0.026406485
1200	0.002642513
1320	-0.036132699
1320	-0.01719666
1320	0.000150254
1320	0.002281443
1440	-0.054460039
1440	-0.030884012
1440	-0.002452794
1440	0.007523907
1560	-0.03723466
1560	-0.03465402
1560	-0.012329499
1560	0.020747113
1680	-0.059273866
1680	-0.028316036
1680	0.004377085
1680	0.006019125
1800	-0.066581603
1800	-0.052192751
1800	-0.020047571
1800	0.003509799
1920	-0.065769632
1920	-0.022862968
1920	-0.014656588
1920	-0.000772427
2040	-0.045934346
2040	-0.017280715
2040	-0.015678909
2040	-0.0099031
2160	-0.05306809
2160	-0.032140681
2160	-0.000436872
2160	0.012453688
2280	-0.0472103
2280	-0.035801413
2280	-0.006310373
2280	-0.005759323
2400	-0.053012318
2400	-0.026969029
2400	-0.018251541
2400	0.023728409
2520	-0.059621854
2520	-0.04924231
2520	-0.005048299
2520	0.019771416
2640	-0.053938058
2640	-0.03711272
2640	-0.023494005
2640	0.007466792
2760	-0.044136411
2760	-0.034107642
2760	-0.009271395
2760	0.012399483
2880	-0.029681981
2880	-0.024243127
2880	0.009417019
2880	0.019554594
3000	-0.020338918
3000	-0.004813827
3000	-0.001262075
3000	0.024920928
3120	-0.024709942
3120	-0.009859645
3120	-0.000664016
3120	0.006601621
3240	-0.046920311
3240	-0.01088658
3240	-0.006844328
3240	0.014242466
3360	-0.023199165
3360	-0.020994572
3360	0.002524149
3360	0.041507777
3480	-0.028534973
3480	-0.011214407
3480	-0.002087277
3480	0.001558405
3600	-0.020067278
3600	-0.013399919
3600	-0.005873501
3600	0.021885426
3720	-0.020065729
3720	-0.016007424
3720	-0.004465803
3720	0.01407985
3840	-0.019835286
3840	-0.013509194
